2026-02-27 08:33:50 [    INFO] Verifying follow playlist
2026-02-27 08:33:51 [    INFO] Verifying status code
2026-02-27 08:33:51 [    INFO] ********************************************************************************
2026-02-27 08:33:51 [    INFO] Request URL: https://api.spotify.com/v1/playlists/1Ju3Rs186TgQuou1JCZbjz/followers
2026-02-27 08:33:51 [    INFO] Request Method: PUT
2026-02-27 08:33:51 [    INFO] Status Code: 200
2026-02-27 08:33:51 [    INFO] Request Body: b'{"public": true}'
2026-02-27 08:33:51 [    INFO] Response Headers: {'cache-control': 'private, max-age=0', 'x-robots-tag': 'noindex, nofollow', 'access-control-allow-origin': '*', 'access-control-allow-headers': 'Accept, App-Platform, Authorization, Content-Type, Origin, Retry-After, Spotify-App-Version, X-Cloud-Trace-Context, client-token, content-access-token', 'access-control-allow-methods': 'GET, POST, OPTIONS, PUT, DELETE, PATCH', 'access-control-allow-credentials': 'true', 'access-control-max-age': '604800', 'Content-Length': '0', 'strict-transport-security': 'max-age=31536000', 'x-content-type-options': 'nosniff', 'alt-svc': 'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000, h3=":443"; ma=2592000,h3-29=":443"; ma=2592000', 'date': 'Fri, 27 Feb 2026 08:33:50 GMT', 'server': 'envoy', 'via': 'HTTP/2 edgeproxy, 1.1 google'}
2026-02-27 08:33:51 [    INFO] Skipping response JSON
2026-02-27 08:33:51 [    INFO] ********************************************************************************
2026-02-27 08:33:51 [    INFO] Verifying status code
2026-02-27 08:33:51 [    INFO] Verifying JSON schema of response
2026-02-27 08:33:51 [    INFO] ********************************************************************************
2026-02-27 08:33:51 [    INFO] Request URL: https://api.spotify.com/v1/me/playlists
2026-02-27 08:33:51 [    INFO] Request Method: GET
2026-02-27 08:33:51 [    INFO] Status Code: 200
2026-02-27 08:33:51 [    INFO] Request Body: None
2026-02-27 08:33:51 [    INFO] Response Headers: {'content-type': 'application/json; charset=utf-8', 'cache-control': 'public, max-age=0', 'etag': '"MC-IjZiNzljZDkyOTBiNzg2MjhiZDM5YjVmMzZhODhiZDgwIg=="', 'x-robots-tag': 'noindex, nofollow', 'access-control-allow-origin': '*', 'access-control-allow-headers': 'Accept, App-Platform, Authorization, Content-Type, Origin, Retry-After, Spotify-App-Version, X-Cloud-Trace-Context, client-token, content-access-token', 'access-control-allow-methods': 'GET, POST, OPTIONS, PUT, DELETE, PATCH', 'access-control-allow-credentials': 'true', 'access-control-max-age': '604800', 'content-encoding': 'gzip', 'strict-transport-security': 'max-age=31536000', 'x-content-type-options': 'nosniff', 'alt-svc': 'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000, h3=":443"; ma=2592000,h3-29=":443"; ma=2592000', 'date': 'Fri, 27 Feb 2026 08:33:51 GMT', 'server': 'envoy', 'via': 'HTTP/2 edgeproxy, 1.1 google', 'Transfer-Encoding': 'chunked'}
2026-02-27 08:33:51 [    INFO] Response JSON: {'href': 'https://api.spotify.com/v1/users/31k5kgsv3hbab3zphty5n6sy3uem/playlists?offset=0&limit=100', 'limit': 100, 'next': None, 'offset': 0, 'previous': None, 'total': 1, 'items': [{'collaborative': False, 'description': 'What a great day for Music!', 'external_urls': {'spotify': 'https://open.spotify.com/playlist/1Ju3Rs186TgQuou1JCZbjz'}, 'href': 'https://api.spotify.com/v1/playlists/1Ju3Rs186TgQuou1JCZbjz', 'id': '1Ju3Rs186TgQuou1JCZbjz', 'images': [{'height': None, 'url': 'https://i.scdn.co/image/ab67616d00001e027039c1c841fc3dfa2ad8a0d8', 'width': None}], 'name': 'NightlyPlaylist', 'owner': {'display_name': 'Hope', 'external_urls': {'spotify': 'https://open.spotify.com/user/31k5kgsv3hbab3zphty5n6sy3uem'}, 'href': 'https://api.spotify.com/v1/users/31k5kgsv3hbab3zphty5n6sy3uem', 'id': '31k5kgsv3hbab3zphty5n6sy3uem', 'type': 'user', 'uri': 'spotify:user:31k5kgsv3hbab3zphty5n6sy3uem'}, 'primary_color': None, 'public': True, 'snapshot_id': 'AAAA8F8+hPsfzvq5mi9xtHVnCObR1ZrO', 'tracks': {'href': 'https://api.spotify.com/v1/playlists/1Ju3Rs186TgQuou1JCZbjz/tracks', 'total': 2}, 'items': {'href': 'https://api.spotify.com/v1/playlists/1Ju3Rs186TgQuou1JCZbjz/items', 'total': 2}, 'type': 'playlist', 'uri': 'spotify:playlist:1Ju3Rs186TgQuou1JCZbjz'}]}
2026-02-27 08:33:51 [    INFO] ********************************************************************************
