2026-02-27 08:33:51 [    INFO] Verifying unfollow playlist
2026-02-27 08:33:52 [    INFO] Verifying status code
2026-02-27 08:33:52 [    INFO] ********************************************************************************
2026-02-27 08:33:52 [    INFO] Request URL: https://api.spotify.com/v1/playlists/1Ju3Rs186TgQuou1JCZbjz/followers
2026-02-27 08:33:52 [    INFO] Request Method: DELETE
2026-02-27 08:33:52 [    INFO] Status Code: 200
2026-02-27 08:33:52 [    INFO] Request Body: None
2026-02-27 08:33:52 [    INFO] Response Headers: {'cache-control': 'private, max-age=0', 'x-robots-tag': 'noindex, nofollow', 'access-control-allow-origin': '*', 'access-control-allow-headers': 'Accept, App-Platform, Authorization, Content-Type, Origin, Retry-After, Spotify-App-Version, X-Cloud-Trace-Context, client-token, content-access-token', 'access-control-allow-methods': 'GET, POST, OPTIONS, PUT, DELETE, PATCH', 'access-control-allow-credentials': 'true', 'access-control-max-age': '604800', 'Content-Length': '0', 'strict-transport-security': 'max-age=31536000', 'x-content-type-options': 'nosniff', 'alt-svc': 'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000, h3=":443"; ma=2592000,h3-29=":443"; ma=2592000', 'date': 'Fri, 27 Feb 2026 08:33:51 GMT', 'server': 'envoy', 'via': 'HTTP/2 edgeproxy, 1.1 google'}
2026-02-27 08:33:52 [    INFO] Skipping response JSON
2026-02-27 08:33:52 [    INFO] ********************************************************************************
2026-02-27 08:33:52 [    INFO] Verifying status code
2026-02-27 08:33:52 [    INFO] Verifying JSON schema of response
2026-02-27 08:33:52 [    INFO] ********************************************************************************
2026-02-27 08:33:52 [    INFO] Request URL: https://api.spotify.com/v1/me/playlists
2026-02-27 08:33:52 [    INFO] Request Method: GET
2026-02-27 08:33:52 [    INFO] Status Code: 200
2026-02-27 08:33:52 [    INFO] Request Body: None
2026-02-27 08:33:52 [    INFO] Response Headers: {'content-type': 'application/json; charset=utf-8', 'cache-control': 'public, max-age=0', 'etag': '"MC-ImE0OGQ1N2IyZWJlZGRhNDRhOWRlY2E5NzZlMmEyZjZlIg=="', 'x-robots-tag': 'noindex, nofollow', 'access-control-allow-origin': '*', 'access-control-allow-headers': 'Accept, App-Platform, Authorization, Content-Type, Origin, Retry-After, Spotify-App-Version, X-Cloud-Trace-Context, client-token, content-access-token', 'access-control-allow-methods': 'GET, POST, OPTIONS, PUT, DELETE, PATCH', 'access-control-allow-credentials': 'true', 'access-control-max-age': '604800', 'content-encoding': 'gzip', 'strict-transport-security': 'max-age=31536000', 'x-content-type-options': 'nosniff', 'alt-svc': 'h3=":443"; ma=2592000,h3-29=":443"; ma=2592000, h3=":443"; ma=2592000,h3-29=":443"; ma=2592000', 'date': 'Fri, 27 Feb 2026 08:33:52 GMT', 'server': 'envoy', 'via': 'HTTP/2 edgeproxy, 1.1 google', 'Transfer-Encoding': 'chunked'}
2026-02-27 08:33:52 [    INFO] Response JSON: {'href': 'https://api.spotify.com/v1/users/31k5kgsv3hbab3zphty5n6sy3uem/playlists?offset=0&limit=0', 'limit': 0, 'next': None, 'offset': 0, 'previous': None, 'total': 0, 'items': []}
2026-02-27 08:33:52 [    INFO] ********************************************************************************
