"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","test_support_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","23","test_safety_and_privacy_center","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","17","test_install_app_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","20","test_privacy_policy_link","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","18","test_cookies_link","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","0","test_user_nav_bar","auto-spot-sel","2025-12-10","skipped","2025-12-10","workflows","ui","",""
"","67","test_search_bar","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","18","test_legal_link","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","18","test_login_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","16","test_accessibility_link","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","60321","test_login","auto-spot-sel","2025-12-10","broken","2025-12-10","workflows","ui","",""
"","18","test_about_ads_link","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","20","test_download_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","0","test_logout","auto-spot-sel","2025-12-10","skipped","2025-12-10","workflows","ui","",""
"","31","test_home_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","21","test_premium_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","226","test_create_playlist","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","10222","test_create_playlist","auto-spot-sel","2025-12-10","broken","2025-12-10","workflows","ui","",""
"","17","test_library_header","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
"","18","test_sign_up_button","auto-spot-sel","2025-12-10","passed","2025-12-10","elements","ui","",""
